customer_number,Archetype
4620,Gold_Silver_Free
4622,Platinum_Free
4636,Bronze_Essential
4637,Gold_Silver_Free
4639,Gold_Silver_Traveller
4648,Platinum_Free
4664,Platinum_Free
4667,Platinum_Free
4669,Gold_Silver_Free
4670,Platinum_Free
4675,Platinum_Free
4683,Gold_Silver_Traveller
4691,Platinum_Free
4694,Bronze_Traveller
4696,Platinum_Essential
4703,Gold_Silver_Free
4709,Gold_Silver_Traveller
4711,Platinum_Free
4715,Gold_Silver_Free
4724,Bronze_Traveller
4725,Gold_Silver_Free
4726,Platinum_Essential
4730,Bronze_Traveller
4740,Platinum_Essential
4745,Bronze_Traveller
4749,Gold_Silver_Traveller
4754,Platinum_Free
4757,Gold_Silver_Essential
4769,Platinum_Free
4770,Platinum_Free
4776,Gold_Silver_Free
4781,Gold_Silver_Traveller
4790,Bronze_Traveller
4794,Gold_Silver_Essential
4801,Bronze_Traveller
4804,Platinum_Free
4805,Gold_Silver_Free
4806,Bronze_Traveller
4807,Gold_Silver_Free
4810,Platinum_Essential
4812,Gold_Silver_Free
4833,Bronze_Traveller
4836,Bronze_Essential
4848,Gold_Silver_Traveller
4857,Platinum_Free
4861,Gold_Silver_Traveller
4865,Gold_Silver_Essential
4869,Gold_Silver_Free
4873,Gold_Silver_Free
4875,Gold_Silver_Free
4876,Platinum_Free
4880,Platinum_Free
4882,Platinum_Free
4895,Gold_Silver_Free
4897,Platinum_Free
4900,Gold_Silver_Free
4905,Platinum_Free
4917,Gold_Silver_Free
4919,Gold_Silver_Free
4922,Gold_Silver_Free
4924,Platinum_Free
4934,Gold_Silver_Free
4941,Platinum_Essential
4942,Platinum_Free
4949,Gold_Silver_Traveller
4970,Bronze_Essential
4976,Platinum_Free
4978,Gold_Silver_Essential
4984,Gold_Silver_Free
4993,Platinum_Free
4994,Platinum_Free
5006,Gold_Silver_Traveller
5008,Gold_Silver_Traveller
5009,Platinum_Free
5011,Platinum_Free
5013,Platinum_Free
5025,Platinum_Free
5029,Gold_Silver_Free
5031,Bronze_Traveller
5036,Gold_Silver_Free
5044,Gold_Silver_Traveller
5050,Bronze_Traveller
5053,Platinum_Free
5055,Gold_Silver_Traveller
5056,Platinum_Free
5057,Platinum_Free
5058,Platinum_Free
5060,Platinum_Essential
5066,Gold_Silver_Essential
5076,Platinum_Free
5080,Gold_Silver_Essential
5081,Bronze_Traveller
5090,Platinum_Free
5091,Platinum_Free
5092,Gold_Silver_Free
5093,Platinum_Essential
5104,Gold_Silver_Free
5105,Gold_Silver_Essential
5107,Platinum_Free
5110,Platinum_Free
5130,Bronze_Traveller
5134,Platinum_Free
5137,Platinum_Free
5146,Gold_Silver_Traveller
5169,Platinum_Free
5170,Gold_Silver_Essential
5175,Platinum_Essential
5179,Gold_Silver_Free
5185,Platinum_Free
5189,Platinum_Free
5198,Gold_Silver_Free
5204,Platinum_Free
5215,Gold_Silver_Free
5233,Platinum_Essential
5234,Bronze_Traveller
5240,Gold_Silver_Essential
5242,Bronze_Essential
5246,Gold_Silver_Traveller
5256,Platinum_Free
5261,Bronze_Traveller
5264,Bronze_Traveller
5268,Gold_Silver_Traveller
5275,Bronze_Traveller
5284,Platinum_Free
5290,Platinum_Free
5296,Gold_Silver_Free
5310,Gold_Silver_Traveller
5319,Gold_Silver_Free
5320,Platinum_Free
5321,Bronze_Essential
5328,Platinum_Free
5330,Bronze_Traveller
5331,Platinum_Free
5332,Platinum_Free
5339,Bronze_Traveller
5340,Platinum_Free
5345,Gold_Silver_Traveller
5351,Bronze_Traveller
5356,Gold_Silver_Traveller
5358,Gold_Silver_Traveller
5360,Platinum_Free
5363,Platinum_Free
5364,Gold_Silver_Free
5365,Gold_Silver_Free
5373,Gold_Silver_Traveller
5377,Platinum_Free
5378,Platinum_Free
5393,Gold_Silver_Free
5399,Gold_Silver_Free
5407,Bronze_Essential
5426,Platinum_Free
5431,Gold_Silver_Free
5440,Bronze_Traveller
5453,Bronze_Essential
5455,Gold_Silver_Free
5457,Gold_Silver_Traveller
5460,Platinum_Free
5467,Platinum_Essential
5470,Platinum_Free
5472,Gold_Silver_Traveller
5485,Gold_Silver_Traveller
5492,Gold_Silver_Free
5498,Gold_Silver_Free
5501,Platinum_Free
5502,Platinum_Free
5503,Bronze_Traveller
5510,Platinum_Free
5512,Platinum_Essential
5518,Platinum_Free
5530,Gold_Silver_Traveller
5533,Gold_Silver_Traveller
5540,Gold_Silver_Free
5542,Bronze_Essential
5543,Platinum_Free
5544,Platinum_Free
5550,Gold_Silver_Free
5553,Gold_Silver_Essential
5556,Bronze_Traveller
5557,Gold_Silver_Essential
5558,Gold_Silver_Free
5561,Platinum_Free
5562,Platinum_Essential
5578,Platinum_Free
5580,Platinum_Free
5593,Gold_Silver_Traveller
5596,Platinum_Free
5601,Gold_Silver_Free
5615,Gold_Silver_Traveller
5622,Platinum_Free
5625,Gold_Silver_Free
5630,Bronze_Traveller
5631,Platinum_Free
